Anno,Mese,Giorno,Anno,Mese,Giorno,Titolo,Civiltà,Descrizione,Colore,Gruppo,Fonte,Etichette,,,Durata
-4026,,,-3096,,,Adamo,Sumeri,Da Adamo a Noè,,Cronologia,,Personaggio,,,930
,,,,,,Eva,Sumeri,,,Cronologia,,Personaggio,,,
-3896,,,-2984,,,Set,Sumeri,,,Cronologia,,Personaggio,,,912
-3791,,,-2886,,,Enos,Sumeri,,,Cronologia,,Evento,,,905
-3701,,,-2791,,,Chenàn,Sumeri,,,Cronologia,,Personaggio,,,910
-3631,,,-2736,,,Maalalèl,Sumeri,,,Cronologia,,Personaggio,,,895
-3566,,,-2604,,,Iàred,Sumeri,,,Cronologia,,Personaggio,,,962
-3404,,,-3039,,,Enoc,Sumeri,,,Cronologia,,Personaggio,,,365
-3339,,,-2370,,,Matusalemme,Sumeri,,,Cronologia,,Personaggio,,,969
-3152,,,-2375,,,Lamec,Sumeri,,,Cronologia,,Personaggio,,,777
-2970,,,-2020,,,Noè,Sumeri,Diluvio ,,Cronologia,,Personaggio,,,950
-2468,,,-1868,,,Sem,Sumeri,"SEM (pelle che va dal chiaro al bruno) asiatici (26 famiglie) situate: Mesopotamia, Assiria, Arabia",,Cronologia,,Personaggio,,,600
-2410,,,,,,Cam,Sumeri,"CAM (il cui nome significa ""colorito scuro, bruciato dal sole"". Alcuni suoi discendenti avevano la pelle scura) afroasiatici (30 famiglie) situate: Etiopia, Africa, Arabia, Egitto, Libia, Gerusalemme, Palestina, Creta, Libano, Fenicia",,Cronologia,,Personaggio,,,2410
-2470,,,,,,Iàfet,Sumeri,"IAFET  (pelle dal chiaro al bruno scuro) popolazioni indoeuropee (14 famiglie) situate: Mar Nero, Grecia, Europa, Asia Minore, costiere dell'Egeo, Armenia, Cipro, Turchia, Mar Caspio, Rodi, isole dell'Egeo ",,Cronologia,,Personaggio,,,2470
-2370,,,,,,Diluvio,Sumeri,,,Cronologia,,Personaggio,,,2370
-2269,,,,,,Torre di Babele,,,,Cronologia,,Personaggio,,,2269
-2018,,,-1843,,,Abramo,Ebrei,,,Cronologia,,Personaggio,,,175
-1943,,,,,,Abramo attraversa Eufrate,Ebrei,,,Cronologia,,Evento,,,1943
-1918,,,-1738,,,Isacco,Ebrei,,,Cronologia,,Personaggio,,,180
-1767,,,-1657,,,Giuseppe ,Ebrei,,,Cronologia,,Personaggio,,,110
-1858,,,-1711,,,Giacobbe ,Ebrei,,,Cronologia,,Personaggio,,,147
-1613,,,-1473,,,Giobbe,Ebrei,,,Cronologia,,Personaggio,,,140
-1593,,,-1473,,,Mosè,Ebrei,,,Cronologia,,Personaggio,,,120
-1513,,,,,,Mosè inizia stesura Pentateuco,Ebrei,,,Cronologia,,Evento,,,
-1070,,,-1037,,,Davide,Ebrei,,,Cronologia,,Personaggio,,,33
-1037,,,,,,Salomone,Ebrei,,,Cronologia,,Personaggio,,,1037
-745,,,,,,Ezechia ,Ebrei,,,Cronologia,,Personaggio,,,745
-740,,,,,,Oshea,Ebrei,,,Cronologia,,Personaggio,,,740
-740,,,,,,"Sennacherib soggiogare Israele,  prende Samaria ",Assiri,,,Cronologia,,Evento,,,740
-732,,,,,,Sennacherib invade Giuda,Assiri,,,Cronologia,,Evento,,,732
-617,,,,,,Nabucodonosor primo assedio a Gerusalemme ,Babilonia,,,Cronologia,,Evento,,,617
-607,,,,,,Gerusalemme distrutta,,,,Cronologia,,Evento,,,607
-537,,,,,,Ritorno a Gerusalemme riedificazione tempio ordine di Ciro,,,,Cronologia,,,,,-537
-455,,,,,,Riedificazione mura di Gerusalemme ordine di Artaserse ,,,,Cronologia,,,,,-455
-2,,,,,,Nascita Giovanni Battezzatore e Gesù,,,,Cronologia,,,,,-2
29,,,,,,Battesimo di Gesù ,,,,Cronologia,,,,,
33,,,,,,morte di Gesù,,,,Cronologia,,,,,
70,,,,,,I romani distruggono Gerusalemme e il suo tempio,,,,Cronologia,,,,,
100,,,,,,Giovanni muore ,,,,Cronologia,,,,,
1914,,,,,,Inizio tempo della fine,,Rivelazione 6 e 12; Matteo 24; Marco 13; Luca 21; Riv.6; 2Tim.3,,Cronologia,,,,,
1920,,,,,,Lega delle Nazioni,,Rivelazione 17,,Cronologia,,,,,
1946,,,2019,,,Potenza Angloamericana e Russia con alleati ,,Daniele 11 Re del Nord e Re del Sud,,Cronologia,,,,,